support,itemsets
0.0010498927283516684,"frozenset({'1004249', '1004246'})"
0.0010498927283516684,frozenset({'3601343'})
0.0010498927283516684,frozenset({'1801689'})
0.0010498927283516684,frozenset({'5000475'})
0.0010498927283516684,frozenset({'1005126'})
0.0010346768917088905,frozenset({'2900022'})
0.0010346768917088905,"frozenset({'1005105', '1005116'})"
0.0010194610550661128,frozenset({'26300189'})
0.0010194610550661128,frozenset({'1005266'})
0.0010194610550661128,frozenset({'5100689'})
0.0010194610550661128,frozenset({'22700068'})
0.0010194610550661128,frozenset({'1200957'})
0.001004245218423335,frozenset({'22700084'})
0.001004245218423335,frozenset({'1002542'})
0.001004245218423335,frozenset({'5100853'})
