antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'1005135'}),frozenset({'1005105'}),0.00928166035209446,0.021926020602242816,0.00124769860470778,0.13442622950819672,6.130899534703814,1.0,0.0010441887286047366,1.1299718322587724,0.844732316408265,0.041645505332656166,0.11502218776459545,0.09566557832106574
frozenset({'1004856'}),frozenset({'1004833'}),0.07049497116598956,0.035270309337958945,0.00893169610931057,0.12669976257284699,3.592249825733424,1.0,0.006445316669515622,1.104694181126356,0.7763518242289951,0.09223758642363294,0.09477209431809343,0.18996765522947787
frozenset({'1003306'}),frozenset({'1005115'}),0.009266444515451682,0.05225118303129898,0.0011411877482083352,0.12315270935960591,2.3569362876594817,1.0,0.0006570050597820929,1.0808596058687994,0.5811051726256298,0.018901209677419355,0.07481046144175606,0.07249656434782858
frozenset({'1003306'}),frozenset({'1004249'}),0.009266444515451682,0.025303936336939486,0.0011411877482083352,0.12315270935960591,4.866938792436958,1.0,0.0009067102261195639,1.111591578222479,0.8019633861653767,0.03413746017296313,0.1003890101442858,0.08412596381991119
frozenset({'1004836'}),frozenset({'1004833'}),0.019902314328753366,0.035270309337958945,0.0024345338628444487,0.12232415902140674,3.468190705369229,1.0,0.0017325730799280248,1.0991867904058794,0.7261166224209399,0.04616272360069245,0.09023651964490437,0.095674590295863
frozenset({'1004856'}),frozenset({'1004767'}),0.07049497116598956,0.05132301699608953,0.00858173186652668,0.12173537664580186,2.3719450603435352,1.0,0.004963717263235757,1.080172146045003,0.6222721308453053,0.07578607901101854,0.074221638040334,0.14447278764101537
frozenset({'1005115'}),frozenset({'1004249'}),0.05225118303129898,0.025303936336939486,0.006040687147182788,0.11560861968549796,4.56879981620602,1.0,0.004718526538229026,1.102109411464916,0.8241889872018854,0.08446808510638298,0.09264906950498941,0.1771669075577219
frozenset({'1004838'}),frozenset({'1004856'}),0.010955402382800019,0.07049497116598956,0.00124769860470778,0.11388888888888889,1.6155604719764012,1.0,0.0004753978296204793,1.0489711924145573,0.3852402270734297,0.015556820337696833,0.046684973590012224,0.06579400196656834
frozenset({'1004750'}),frozenset({'1004836'}),0.011624899195082241,0.019902314328753366,0.0012781302779933355,0.1099476439790576,5.524364762956915,1.0,0.0010467678801727369,1.1011685762541654,0.8286162934160842,0.04225352112676057,0.09187383152387942,0.08708391373264807
frozenset({'1004870'}),frozenset({'1004856'}),0.021849941419028924,0.07049497116598956,0.0023584546796305596,0.10793871866295265,1.5311548735695903,1.0,0.0008181436893175546,1.041974411714004,0.3546472236788295,0.026208995603652353,0.04028353406966854,0.07069718147695442
frozenset({'1004767'}),frozenset({'1004833'}),0.05132301699608953,0.035270309337958945,0.005508132864685565,0.10732285798991996,3.0428669326814193,1.0,0.003697954179076163,1.0807151267363215,0.7076829855734008,0.06793019328204167,0.07468677428442706,0.13174598464638362
frozenset({'1002544'}),frozenset({'1005115'}),0.032927070494971164,0.05225118303129898,0.003484426591196117,0.10582255083179298,2.0252661220781207,1.0,0.0017639482040788944,1.0599113384600873,0.5234742008222444,0.04265226299124604,0.05652485852932821,0.08625431560226807
